season,week,team,opponent,rb_rank,player_name,snap_pct,snap_pct_avg_3,proj_rush_yds,proj_rec_yds,proj_total_yds
2025,16,ARI,ATL,1.0,M.Carter,0.0,0.0,51.9,25.3,77.2
2025,16,ATL,ARI,2.0,B.Robinson,0.0,0.0,52.4,28.8,81.2
2025,16,ATL,ARI,1.0,T.Allgeier,0.0,0.0,59.9,15.2,75.1
2025,16,BAL,NE,1.0,D.Henry,0.0,0.0,80.7,13.1,93.8
2025,16,BAL,NE,2.0,K.Mitchell,0.0,0.0,34.0,5.6,39.7
2025,16,BUF,CLE,1.0,J.Cook,0.0,0.0,91.8,16.8,108.6
2025,16,BUF,CLE,2.0,Ty.Johnson,0.0,0.0,23.6,12.6,36.2
2025,16,CAR,TB,1.0,R.Dowdle,0.0,0.0,65.4,17.7,83.1
2025,16,CAR,TB,2.0,C.Hubbard,0.0,0.0,30.5,13.7,44.2
2025,16,CHI,GB,1.0,D.Swift,0.0,0.0,81.0,15.3,96.2
2025,16,CHI,GB,2.0,K.Monangai,0.0,0.0,40.8,6.9,47.7
2025,16,CIN,MIA,1.0,C.Brown,0.0,0.0,60.2,28.1,88.3
2025,16,CIN,MIA,2.0,S.Perine,0.0,0.0,26.3,8.0,34.3
2025,16,CLE,BUF,2.0,Q.Judkins,0.0,0.0,31.4,15.4,46.8
2025,16,DAL,LAC,1.0,J.Williams,0.0,0.0,68.0,15.9,83.8
2025,16,DAL,LAC,2.0,M.Davis,0.0,0.0,18.9,7.1,26.0
2025,16,DEN,JAX,1.0,R.Harvey,0.0,0.0,63.6,20.5,84.1
2025,16,DEN,JAX,2.0,J.McLaughlin,0.0,0.0,16.8,5.4,22.2
2025,16,DET,PIT,1.0,J.Gibbs,0.0,0.0,68.2,28.4,96.6
2025,16,DET,PIT,2.0,D.Montgomery,0.0,0.0,34.3,8.0,42.3
2025,16,GB,CHI,1.0,E.Wilson,0.0,0.0,58.3,11.2,69.5
2025,16,GB,CHI,2.0,J.Jacobs,0.0,0.0,37.3,11.2,48.5
2025,16,HOU,LV,2.0,N.Chubb,0.0,0.0,28.3,3.4,31.7
2025,16,JAX,DEN,1.0,T.Etienne,0.0,0.0,59.7,18.3,78.0
2025,16,KC,TEN,1.0,I.Pacheco,0.0,0.0,51.9,11.4,63.3
2025,16,KC,TEN,2.0,K.Hunt,0.0,0.0,22.4,9.9,32.3
2025,16,LA,SEA,1.0,K.Williams,0.0,0.0,76.1,12.4,88.5
2025,16,LA,SEA,2.0,B.Corum,0.0,0.0,48.3,4.8,53.1
2025,16,LAC,DAL,1.0,O.Hampton,0.0,0.0,62.9,19.7,82.6
2025,16,LAC,DAL,2.0,K.Vidal,0.0,0.0,38.3,13.2,51.5
2025,16,LV,HOU,1.0,A.Jeanty,0.0,0.0,50.2,26.8,77.0
2025,16,LV,HOU,2.0,R.Mostert,0.0,0.0,10.7,8.7,19.4
2025,16,MIA,CIN,1.0,D.Achane,0.0,0.0,78.7,22.4,101.2
2025,16,MIA,CIN,2.0,J.Wright,0.0,0.0,29.1,8.8,38.0
2025,16,MIN,NYG,1.0,A.Jones,0.0,0.0,67.8,16.6,84.4
2025,16,MIN,NYG,2.0,J.Mason,0.0,0.0,37.7,3.6,41.3
2025,16,NE,BAL,1.0,R.Stevenson,0.0,0.0,60.9,16.7,77.6
2025,16,NE,BAL,2.0,T.Henderson,0.0,0.0,47.6,14.7,62.3
2025,16,NO,NYJ,2.0,A.Estime,0.0,0.0,29.3,4.5,33.8
2025,16,NYG,MIN,1.0,T.Tracy,0.0,0.0,66.6,20.4,87.0
2025,16,NYG,MIN,2.0,D.Singletary,0.0,0.0,28.9,8.8,37.7
2025,16,NYJ,NO,1.0,B.Hall,0.0,0.0,64.5,12.9,77.4
2025,16,NYJ,NO,2.0,I.Davis,0.0,0.0,25.9,4.4,30.3
2025,16,PHI,WAS,1.0,S.Barkley,0.0,0.0,75.1,15.7,90.8
2025,16,PHI,WAS,2.0,T.Bigsby,0.0,0.0,21.7,4.4,26.1
2025,16,PIT,DET,1.0,J.Warren,0.0,0.0,55.4,20.1,75.6
2025,16,PIT,DET,2.0,K.Gainwell,0.0,0.0,23.7,23.2,47.0
2025,16,SEA,LA,1.0,K.Walker,0.0,0.0,59.0,14.8,73.8
2025,16,SEA,LA,2.0,Z.Charbonnet,0.0,0.0,30.6,6.8,37.4
2025,16,TB,CAR,1.0,B.Irving,0.0,0.0,68.1,18.2,86.3
2025,16,TB,CAR,2.0,R.White,0.0,0.0,25.0,10.6,35.6
2025,16,TEN,KC,1.0,T.Pollard,0.0,0.0,83.7,13.2,96.8
2025,16,TEN,KC,2.0,T.Spears,0.0,0.0,16.9,16.1,33.0
2025,16,WAS,PHI,1.0,C.Rodriguez,0.0,0.0,72.4,9.7,82.1
2025,16,WAS,PHI,2.0,J.Croskey-Merritt,0.0,0.0,38.1,3.9,42.0
